fullName,seLevelId,email,phoneNumber
Vindya Karunaratne,2,vindya.karunaratne@gmail.com,0783602606
Rajitha Fernando,2,rajitha.fernando@gmail.com,0757468723
Gayan Senanayake,2,gayan.senanayake@gmail.com,0753098050
Ajith Jayasuriya,2,ajith.jayasuriya@gmail.com,0709788208
Madhavi Dissanayake,4,madhavi.dissanayake@gmail.com,0712191361
Malinda Silva,4,malinda.silva@gmail.com,0749909169
Manjula Jayawardena,2,manjula.jayawardena@gmail.com,0764353462
Gayan Wijesinghe,2,gayan.wijesinghe@gmail.com,0757510799
Nadeesha Rathnayake,3,nadeesha.rathnayake@gmail.com,0711838425
Manjula Perera,2,manjula.perera@gmail.com,0713542784
Malinda Amarasinghe,3,malinda.amarasinghe@gmail.com,0708412411
Chathurika Wickramasinghe,3,chathurika.wickramasinghe@gmail.com,0724493534
Nilmini Karunaratne,3,nilmini.karunaratne@gmail.com,0784016400
Chaminda Jayasuriya,1,chaminda.jayasuriya@gmail.com,0762427868
Tharindu Mendis,1,tharindu.mendis@gmail.com,0701128059
Kavindi Rathnayake,1,kavindi.rathnayake@gmail.com,0726204505
Chathurika Herath,3,chathurika.herath@gmail.com,0743158692
Dilshan Abeywickrama,3,dilshan.abeywickrama@gmail.com,0742260256
Sunil Herath,2,sunil.herath@gmail.com,0744216073
Nadun Weerasinghe,2,nadun.weerasinghe@gmail.com,0747543303
Nimal Bandara,2,nimal.bandara@gmail.com,0775414586
Nimal Dissanayake,3,nimal.dissanayake@gmail.com,0760142940
Anusha Wickramasinghe,1,anusha.wickramasinghe@gmail.com,0719655698
Shashini Wijesinghe,3,shashini.wijesinghe@gmail.com,0716934060
Chaminda Ranasinghe,2,chaminda.ranasinghe@gmail.com,0745615951
Iresha Perera,1,iresha.perera@gmail.com,0758465648
Vindya Jayawardena,2,vindya.jayawardena@gmail.com,0723662994
Chamodi Gunasekara,2,chamodi.gunasekara@gmail.com,0778044369
Gayan Abeywickrama,2,gayan.abeywickrama@gmail.com,0767773872
Kumudu Jayawardena,3,kumudu.jayawardena@gmail.com,0714895134
Ruwan Perera,2,ruwan.perera@gmail.com,0743200379
Isuru Kodithuwakku,2,isuru.kodithuwakku@gmail.com,0717693676
Nuwan Ranasinghe,2,nuwan.ranasinghe@gmail.com,0742016328
Madhavi Kodithuwakku,1,madhavi.kodithuwakku@gmail.com,0780831727
Dinesh Mendis,1,dinesh.mendis@gmail.com,0767986872
Sanjeewa Kodithuwakku,4,sanjeewa.kodithuwakku@gmail.com,0787434873
Nilmini Rathnayake,4,nilmini.rathnayake@gmail.com,0757143455
Lakshan Mendis,2,lakshan.mendis@gmail.com,0712236231
Dilshan Silva,4,dilshan.silva@gmail.com,0776587603
Lakshan Fernando,1,lakshan.fernando@gmail.com,0776909670
Ishara Amarasinghe,2,ishara.amarasinghe@gmail.com,0764668893
Lakshan Herath,2,lakshan.herath@gmail.com,0783467065
Piumi Gunasekara,2,piumi.gunasekara@gmail.com,0772729806
Dilani Weerasinghe,3,dilani.weerasinghe@gmail.com,0701627204
Nadun Senanayake,3,nadun.senanayake@gmail.com,0775375564
Sunil Dissanayake,2,sunil.dissanayake@gmail.com,0774170805
Thilini Ranasinghe,1,thilini.ranasinghe@gmail.com,0741003309
Chathurika Gunasekara,3,chathurika.gunasekara@gmail.com,0723271937
Kasun Wickramasinghe,1,kasun.wickramasinghe@gmail.com,0755299124
